Sample Name	Strain Mixture?	Proportion Heterozygous SNP calls	Barcode Length	UDG Treatment	Nr. Input Reads	Reads Retained Following Poly-G Trimming	Retained Following Demultiplexing	Percentage Retained Following Demultiplexing	Nr. Reads Into Mapping	Nr. Mapped Reads	Endogenous DNA ()	Nr. Mapped Reads Passed Post-Filter	Endogenous DNA Post ()	 Dup. Mapped Reads	5 Prime C>T 1st base (Loose mapping parameters)	5 Prime C>T 2nd base (Loose mapping parameters)	Mean Length Mapped Reads (Loose mapping parameters)	Median read length (Loose mapping parameters)	5 Prime C>T 1st base- Human Mapping	5 Prime C>T 2nd base- Human Mapping	Mean Length Mapped Reads- Human Mapping	Median read length- Human Mapping	Nr. Reads Into Mapping	Nr. Mapped Reads	Endogenous DNA ()	Nr. Mapped Reads Passed Post-Filter	Endogenous DNA Post ()	 Dup. Mapped Reads	Mean Length Mapped Reads (Loose mapping parameters)	Median read length (Loose mapping parameters)	Reads retained after MALT filtering	Nr. Mapped Reads	Nr. Mapped Reads Passed Post-Filter	 Dup. Mapped Reads	5 Prime C>T 1st base	5 Prime C>T 2nd base	Mean Length Mapped Reads	Median read length	Nr. Dedup. Mapped Reads	Mean cov	Median cov	≥ 1X	≥ 2X	≥ 3X	≥ 4X	≥ 5X	 GC Dedup. Mapped Reads
XXX001.A161358.SM1	-	-	7bp	half	5,638,708	5,624,245	5,102,572	90.72	4,450,599	2,535,228	56.96	2,445,996	54.96	89	12.8	1.1	63.08bp	60.00bp	8.6	1	62.25bp	59.00bp	4,450,599	2,491,728	55.99	2,356,937	52.96	89.0%	59.17bp	56.00bp	2,248,719	2,072,081	1,989,475	89.3	0.6	0.7	60.89bp	58.00bp	212,515	6.4	6.0	83.1	78.2	73.4	67.8	61.7	39
XXX001.A161274.SM1	-	-	5bp	half	6,466,570	6,450,793	5,984,144	92.77	5,953,017	2,818,719	47.35	2,685,194	45.11	87.3	8.9	1.1	69.70bp	68.00bp	13.3	2.1	52.07bp	49.00bp	5,953,017	2,763,412	46.42	2,589,738	43.50	87.2%	65.83bp	64.00bp	2,416,955	2,314,873	2,212,297	87.4	0.6	0.6	67.38bp	66.00bp	279,101	9.2	8.0	82.6	79	75.4	71.5	67.4	41
XXX001.A16571.SM1	No	5.5	5bp	full	5,622,688	5,285,471	4,986,323	94.34	4,949,759	1,401,753	28.32	1,209,140	24.43	66.6	2.5	0.9	71.75bp	69.00bp	6.1	2.1	54.09bp	52.00bp	4,949,759	1,311,064	26.49	1,166,184	23.56	66.4%	71.92bp	70.00bp	1,116,446	1,036,202	988,374	66.1	2.2	0.8	72.99bp	71.00bp	334,979	12	8.0	78.6	72.9	68.6	65	61.5	42
OOH016.A0102.SM1	-	-	-	half	9,959,100	-	-	-	10,963,180	5,186,427	47.31	4,902,078	44.71	94.1	5.2	1	76.46bp	76.00bp	12	1	47.40bp	42.00bp	10,963,180	5,054,923	46.11	4,719,707	43.05	94.1%	72.56bp	72.00bp	4,619,987	4,366,071	4,188,569	94.3	0.7	0.6	74.35bp	72.00bp	239,841	8.8	9.0	83.2	80.6	78.2	75.5	72.4	39
XXX001.A161345.SM1	No	0.6	7bp	half	3,809,708	3,778,983	2,602,079	68.86	2,727,297	1,422,388	52.15	1,364,151	50.02	74.5	10.8	1.1	74.03bp	69.00bp	15.6	2.1	58.66bp	55.00bp	2,727,297	1,394,916	51.15	1,316,842	48.28	74.3%	70.11bp	65.00bp	1,264,099	1,186,971	1,139,117	74.6	0.6	0.6	71.53bp	66.00bp	289,427	10.2	10.0	83.7	80.1	77	73.8	70.4	40
CLL006.A0101.SM1	Yes	19.1	-	half	10,026,341	-	-	-	10,952,869	3,053,536	27.88	2,703,841	24.69	88	4.4	1.1	80.53bp	76.00bp	8.9	1.2	57.60bp	52.00bp	10,952,869	2,907,947	26.55	2,582,435	23.58	87.9%	76.68bp	72.00bp	2,556,680	2,351,363	2,252,907	88.1	0.6	0.7	78.32bp	72.00bp	267,283	10.3	10.0	85.6	82.5	79.8	77	74	39
CDL001.A0201.SM1	Yes	15.9	-	half	9,419,586	-	-	-	9,912,655	3,800,905	38.34	3,621,168	36.53	90.4	14.5	1.2	75.32bp	76.00bp	13.4	1.9	64.89bp	62.00bp	9,912,655	3,709,589	37.42	3,476,109	35.07	90.3%	71.40bp	72.00bp	3,512,523	3,208,808	3,064,656	90.6	0.6	0.7	73.22bp	72.00bp	288,974	10.4	10.0	86.5	83.3	80.5	77.6	74.5	39
TIT012.A0103.SM1	No	0.2	-	half	8,718,799	-	-	-	8,616,593	2,782,335	32.29	2,591,487	30.08	82.2	11.8	1.2	64.86bp	60.00bp	8.5	2.2	48.81bp	42.00bp	8,616,593	2,710,051	31.45	2,501,479	29.03	82.1%	60.93bp	57.00bp	2,416,655	2,247,076	2,151,992	82.8	0.6	0.6	62.80bp	59.00bp	370,562	11.4	11.0	84.8	82.3	80	77.5	74.8	39
XXX001.A16575.SM1	Yes	40.1	5bp	full	5,089,425	4,416,627	3,949,785	89.43	4,046,766	2,030,834	50.18	1,916,820	47.37	80.9	1.7	0.9	84.13bp	80.00bp	2.5	1.1	65.63bp	64.00bp	4,046,766	1,968,882	48.65	1,847,568	45.66	80.7%	84.23bp	80.00bp	1,777,760	1,680,608	1,613,458	80.6	1.6	0.8	85.18bp	81.00bp	312,578	13.1	11.0	82.2	77.8	74.2	70.8	67.6	41
EFA011.A0201.SM1	Yes	33.9	-	half	11,666,685	-	-	-	11,851,888	3,905,955	32.96	3,625,778	30.59	89.9	8.7	1.1	79.46bp	76.00bp	13.1	1.7	58.38bp	53.00bp	11,851,888	3,779,699	31.89	3,487,731	29.43	89.8%	75.57bp	72.00bp	3,492,869	3,249,562	3,114,380	90	0.6	0.7	77.17bp	72.00bp	310,874	11.8	12.0	88	85.9	83.6	81.4	79	39
