Individual Id	Archaeological ID	Capture ID	Country	Site	Latitude	Longitude	Culture/Period	Radiocarbon Dating	Approximate Chronology	C14 Uncalibrated	C14 Uncalibrated Variation	C14 Calibrated From	C14 Calibrated To	C14 Id	C14 Dated?	Plot From	Plot To	Plot Mid	Region
KPT003	8302	KPT003.A0101.SM1	Russian Federation	Khaptsagai	53.0445	105.5106	"Late Neolithic, Glazkovo stage"	"4021 ± 19 (MAMS-37927), 2576-2480 calBCE"	-	4021	19	-2576	-2480	MAMS-37927	Yes	-2576	-2480	-2528	Siberia
VLI009	Grave 965	VLI009.B0103.SM1	Czech Republic	Vliněves	50.3729	14.4486	"Chalcolithic/Eneolithic/Final Neolithic, Corded Ware"	"4078 ± 25 (MAMS-45797),  2848-2495 calBCE"	-	4078	25	-2848	-2495	MAMS-45797	Yes	-2848	-2495	-2671.5	Central Europe
I0455	Cmol123	XXX001.A161123.SM1	Spain	Camino_del_Molino	38.1028	-1.8654	Early Copper Age	"4210 ± 40 (Beta-261529), 2905-2636 calBCE"	-	4210	40	-2905	-2636	Beta-261529	Yes	-2905	-2636	-2770.5	Iberia
PLI001	Plinkaigalis242	PLI001.A0101.SM1	Lithuania	Plinkaigalis	55.4102	23.6468	"Neolithic, Corded Ware/Battle Axe culture"	"4280 ± 75 (OxA-5936), 3264-2625 calBCE"	-	4280	75	-3264	-2625	OxA-5936	Yes	-3264	-2625	-2944.5	Baltic
I0554	SALZ88A	XXX001.A161114.SM1	Germany	Salzmünde	51.5254	11.8283	"Neolithic, Salzmünde culture"	"4538 ± 47 (Er10329), 3487-3043 calBCE"	-	4538	47	-3487	-3043	Er10329	Yes	-3487	-3043	-3265	Central Europe
MK5008	"BZNK-066/2, 066/3"	MK5008.B0101.SM1	Russian Federation	Maryinskaya 5	43.9054	43.5219	"Bronze Age, Late Maykop"	"4544 ± 25 (MAMS-29810), 3369-3103 calBCE"	-	4544	25	-3369	-3103	MAMS-29810	Yes	-3369	-3103	-3236	Caucuses
OSS001	"kurgan 3, grave 4, ind. 1"	OSS001.A0101.SM1	Russian Federation	Nogir 3	43.0844	44.6327	"Bronze Age, Maykop"	"4857 ± 23 (MAMS-29813), 3704-3535 calBCE"	-	4857	23	-3704	-3535	MAMS-29813	Yes	-3704	-3535	-3619.5	Caucuses
PGL001	CHA52	PGL001.A0103.SM1	Peru	Pongumal	-6.1167	-78	"Late Intermediate Period, Chachapoya culture"	"545 ± 19 (MAMS-35095), 1405-1445 calCE"	-	545	19	1405	1445	MAMS-35095	Yes	1405	1445	1425	Americas
SJN015	TU258/San José de los Naturales SLU 11B 1992 4	SJN015.B0101.SM1	Mexico	Hospital Real de San José de los Naturales	19.4313	-99.1416	Siglos XVI y XVII	"554 ± 17 (MAMS-35847), 1326-1423 calCE"	-	554	17	1326	1423	MAMS-35847	Yes	1326	1423	1374.5	Americas
I0785	Yunatsite99b	XXX001.A161155.SM1	Bulgaria	Yunatsite	42.23	24.26	Eneolithic/Chalcolithic	"5578 ± 23 (MAMS-28135), 4451-4354 calBCE"	-	5578	23	-4451	-4354	MAMS-28135	Yes	-4451	-4354	-4402.5	Balkans
